id_sensor,nome_sensor,tipo_medicao,timestamp,valor,unidade,estado_operacional
1,DHT22_Temp,temperatura,2025-08-30 22:07:22.412497,20.29,°C,normal
1,DHT22_Temp,temperatura,2025-08-30 22:17:22.412497,19.37,°C,normal
1,DHT22_Temp,temperatura,2025-08-30 22:27:22.412497,31.58,°C,alerta
1,DHT22_Temp,temperatura,2025-08-30 22:37:22.412497,20.8,°C,normal
1,DHT22_Temp,temperatura,2025-08-30 22:47:22.412497,19.2,°C,normal
1,DHT22_Temp,temperatura,2025-08-30 22:57:22.412497,20.05,°C,normal
1,DHT22_Temp,temperatura,2025-08-30 23:07:22.412497,20.59,°C,normal
1,DHT22_Temp,temperatura,2025-08-30 23:17:22.412497,17.79,°C,alerta
1,DHT22_Temp,temperatura,2025-08-30 23:27:22.412497,31.12,°C,alerta
1,DHT22_Temp,temperatura,2025-08-30 23:37:22.412497,22.18,°C,normal
1,DHT22_Temp,temperatura,2025-08-30 23:47:22.412497,19.46,°C,normal
1,DHT22_Temp,temperatura,2025-08-30 23:57:22.412497,18.99,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 00:07:22.412497,24.57,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 00:17:22.412497,21.0,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 00:27:22.412497,16.62,°C,alerta
1,DHT22_Temp,temperatura,2025-08-31 00:37:22.412497,21.13,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 00:47:22.412497,19.07,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 00:57:22.412497,11.32,°C,critico
1,DHT22_Temp,temperatura,2025-08-31 01:07:22.412497,22.01,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 01:17:22.412497,21.0,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 01:27:22.412497,20.34,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 01:37:22.412497,23.37,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 01:47:22.412497,16.51,°C,alerta
1,DHT22_Temp,temperatura,2025-08-31 01:57:22.412497,21.13,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 02:07:22.412497,18.52,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 02:17:22.412497,20.56,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 02:27:22.412497,18.94,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 02:37:22.412497,19.79,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 02:47:22.412497,18.3,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 02:57:22.412497,22.62,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 03:07:22.412497,18.62,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 03:17:22.412497,18.67,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 03:27:22.412497,19.26,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 03:37:22.412497,21.84,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 03:47:22.412497,17.72,°C,alerta
1,DHT22_Temp,temperatura,2025-08-31 03:57:22.412497,17.02,°C,alerta
1,DHT22_Temp,temperatura,2025-08-31 04:07:22.412497,21.58,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 04:17:22.412497,19.63,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 04:27:22.412497,18.52,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 04:37:22.412497,21.6,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 04:47:22.412497,20.91,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 04:57:22.412497,30.34,°C,alerta
1,DHT22_Temp,temperatura,2025-08-31 05:07:22.412497,20.26,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 05:17:22.412497,20.33,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 05:27:22.412497,22.27,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 05:37:22.412497,21.27,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 05:47:22.412497,23.87,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 05:57:22.412497,20.89,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 06:07:22.412497,35.0,°C,critico
1,DHT22_Temp,temperatura,2025-08-31 06:17:22.412497,26.08,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 06:27:22.412497,23.57,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 06:37:22.412497,25.64,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 06:47:22.412497,21.3,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 06:57:22.412497,23.74,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 07:07:22.412497,26.79,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 07:17:22.412497,24.84,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 07:27:22.412497,24.99,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 07:37:22.412497,25.87,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 07:47:22.412497,26.53,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 07:57:22.412497,27.22,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 08:07:22.412497,24.9,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 08:17:22.412497,27.88,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 08:27:22.412497,26.16,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 08:37:22.412497,27.48,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 08:47:22.412497,28.15,°C,alerta
1,DHT22_Temp,temperatura,2025-08-31 08:57:22.412497,25.02,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 09:07:22.412497,25.48,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 09:17:22.412497,27.11,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 09:27:22.412497,26.55,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 09:37:22.412497,28.42,°C,alerta
1,DHT22_Temp,temperatura,2025-08-31 09:47:22.412497,28.56,°C,alerta
1,DHT22_Temp,temperatura,2025-08-31 09:57:22.412497,30.53,°C,alerta
1,DHT22_Temp,temperatura,2025-08-31 10:07:22.412497,27.82,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 10:17:22.412497,27.58,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 10:27:22.412497,28.22,°C,alerta
1,DHT22_Temp,temperatura,2025-08-31 10:37:22.412497,29.55,°C,alerta
1,DHT22_Temp,temperatura,2025-08-31 10:47:22.412497,25.58,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 10:57:22.412497,27.59,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 11:07:22.412497,25.54,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 11:17:22.412497,25.22,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 11:27:22.412497,27.53,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 11:37:22.412497,27.71,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 11:47:22.412497,28.41,°C,alerta
1,DHT22_Temp,temperatura,2025-08-31 11:57:22.412497,26.47,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 12:07:22.412497,27.1,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 12:17:22.412497,25.99,°C,normal
1,DHT22_Temp,temperatura,2025-08-31 12:27:22.412497,25.57,°C,normal
